ClaimID,EmployeeID,EmployeeName,Role,Department,ClaimDate,ClaimTime,SubmissionDate,LateSubmission,Category,VendorID,VendorName,VendorType,Country,Currency,ExchangeRate,AmountLocal,AmountAUD,ReceiptID,SplitClaimFlag,NightTimeClaim,WeekendClaim,PolicyBreach,ApproverID,ApproverName,SelfApproval,PostedToAP,Approved,Notes,HighFreqVendor,DuplicateReceipt,SplitDetection,RiskScoreSimple
CLM000001,EMP005,Employee 5,Pharmacist,Emergency,2024-11-28,14:16:52,2025-03-07,True,Medical Supplies,VEN0100,Vendor 100 - Courier,UniformShop,AU,AUD,1.0,4616.69,4616.69,RCT890075,False,False,False,True,APR018,Approver 18,False,True,False,Training course approved,False,False,False,3
CLM000002,EMP034,Employee 34,Lab Tech,Emergency,2024-07-08,22:37:02,2024-07-09,False,Uniforms,VEN0084,Vendor 84 - UniformShop,TaxiCo,AU,AUD,1.0,28.81,28.81,RCT801364,False,False,False,False,APR013,Approver 13,False,True,True,,False,False,False,0
CLM000003,EMP006,Employee 6,Technician,Emergency,2024-12-18,19:32:07,2024-12-31,False,Meals,VEN0050,Vendor 50 - LocalShop,ConferenceOrganizer,AU,AUD,1.0,38.7,38.7,RCT549433,False,False,False,False,APR018,Approver 18,False,True,True,Conference attendance,False,False,False,0
CLM000004,EMP027,Employee 27,Physio,Outpatient,2024-04-18,16:53:17,2024-08-07,True,Uniforms,VEN0036,Vendor 36 - Hotel,Courier,AU,AUD,1.0,15.48,15.48,RCT665621,False,False,False,False,APR015,Approver 15,False,False,True,,False,False,False,1
CLM000005,EMP073,Employee 73,Nurse,Emergency,2024-04-06,08:06:20,2024-05-09,True,Parking,VEN0097,Vendor 97 - MedicalSupplier,UniformShop,AU,AUD,1.0,5.74,5.74,RCT596564,False,False,True,False,APR017,Approver 17,False,True,True,Retrospective claim,False,False,False,2
CLM000006,EMP073,Employee 73,Nurse,Emergency,2024-10-17,15:20:32,2024-10-17,False,Accommodation,VEN0112,Vendor 112 - SubscriptionService,ConferenceOrganizer,AU,AUD,1.0,258.37,258.37,RCT706794,False,False,False,False,APR012,Approver 12,False,True,True,,False,False,False,0
CLM000007,EMP013,Employee 13,Physio,Emergency,2024-08-17,21:35:20,2024-08-17,False,Uniforms,VEN0117,Vendor 117 - UniformShop,Courier,AU,AUD,1.0,194.41,194.41,RCT817497,False,False,True,False,APR012,Approver 12,False,True,True,Urgent supply,False,False,False,1
CLM000008,EMP035,Employee 35,Lab Tech,Surgery,2024-01-27,13:08:41,2024-05-19,True,Meals,VEN0008,Vendor 8 - UniformShop,Hotel,AU,AUD,1.0,205.71,205.71,RCT614013,False,False,True,True,APR012,Approver 12,False,True,True,Missing PO noted,False,False,False,4
CLM000009,EMP044,Employee 44,Lab Tech,Outpatient,2024-07-21,14:42:51,2024-10-15,True,Uniforms,VEN0078,Vendor 78 - Hotel,Courier,AU,AUD,1.0,197.5,197.5,RCT606983,False,False,True,False,APR008,Approver 8,False,True,False,Urgent supply,False,False,False,2
CLM000010,EMP047,Employee 47,Admin,Surgery,2024-12-08,01:48:40,2024-12-27,False,Uniforms,VEN0058,Vendor 58 - TaxiCo,MedicalSupplier,IN,AUD,1.0,101.42,101.42,RCT497399,False,True,True,False,APR013,Approver 13,False,True,True,Urgent supply,False,False,False,2
